epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.566,0.76722,2.36508,1.1989,0.32454,0.28725,0.20172,0.14719,1.06186,3.20432,1.76733,0.0676875,0.000326389,0.000326389
2,876.65,0.67537,1.65024,1.12871,0.36001,0.48435,0.4515,0.37731,0.6415,1.96206,1.27246,0.0346548,0.000627066,0.000627066
3,1293.18,0.64027,1.35421,1.10003,0.30672,0.51746,0.39667,0.2661,1.09262,2.68834,1.5663,0.00158919,0.000894743,0.000894743
4,1709.44,0.61627,1.1887,1.08769,0.54677,0.6065,0.64049,0.56277,0.5048,1.56796,1.15744,0.0008515,0.0008515,0.0008515
5,2127.06,0.59373,1.05282,1.07821,0.51738,0.66904,0.68775,0.58672,0.59654,2.13855,1.16697,0.000802,0.000802,0.000802
6,2541.95,0.55544,0.93502,1.05613,0.87507,0.8916,0.94644,0.84979,0.4208,0.7344,1.07973,0.0007525,0.0007525,0.0007525
7,2959.23,0.54127,0.87967,1.05089,0.70992,0.84421,0.85844,0.74158,0.52404,1.25762,1.13338,0.000703,0.000703,0.000703
8,3377.42,0.51404,0.82746,1.0392,0.93479,0.91797,0.96657,0.90189,0.34785,0.64542,1.03034,0.0006535,0.0006535,0.0006535
9,3795.1,0.50952,0.78391,1.03087,0.93024,0.83659,0.94435,0.86099,0.43727,0.62078,1.04416,0.000604,0.000604,0.000604
10,4214.32,0.49958,0.76468,1.03215,0.90488,0.9423,0.9741,0.92498,0.34254,0.4774,1.02114,0.0005545,0.0005545,0.0005545
11,4614.85,0.26286,0.63611,0.93293,0.89774,0.87621,0.93667,0.86094,0.40746,0.86564,1.05429,0.000505,0.000505,0.000505
12,5016.49,0.21386,0.43115,0.90271,0.94208,0.97418,0.98452,0.95955,0.34298,0.40362,0.99558,0.0004555,0.0004555,0.0004555
13,5421.63,0.18871,0.35537,0.88643,0.95918,0.96847,0.98123,0.96518,0.30438,0.39506,0.98148,0.000406,0.000406,0.000406
14,5823.31,0.17903,0.3268,0.88348,0.9536,0.96093,0.98495,0.984,0.25355,0.3788,0.97326,0.0003565,0.0003565,0.0003565
15,6249.33,0.16964,0.28507,0.88042,0.95471,0.97805,0.98426,0.98154,0.19735,0.34428,0.96203,0.000307,0.000307,0.000307
16,6833.69,0.1599,0.25389,0.88331,0.95375,0.96955,0.9866,0.9866,0.20511,0.32534,0.96198,0.0002575,0.0002575,0.0002575
17,7495.96,0.14502,0.23508,0.874,0.98659,0.99146,0.98824,0.98824,0.19766,0.27189,0.96515,0.000208,0.000208,0.000208
18,8099.03,0.13983,0.21156,0.87174,0.9837,0.98846,0.98837,0.98837,0.21693,0.28074,0.96461,0.0001585,0.0001585,0.0001585
19,8681.27,0.12472,0.20678,0.8634,0.98691,0.99112,0.98903,0.98903,0.18677,0.24951,0.9587,0.000109,0.000109,0.000109
20,9261.8,0.12348,0.19008,0.86879,0.99056,0.99315,0.98904,0.98904,0.18265,0.24867,0.95681,5.95e-05,5.95e-05,5.95e-05
